d,o,h,l,c,v
2019-09-08,10391.61,10391.96,10391.28,10391.63,12.615
2019-09-09,10327.09,10327.09,10307.0,10307.0,2.938
2019-09-10,10101.84,10104.29,10101.66,10102.02,7.637
2019-09-11,10162.46,10163.87,10158.91,10159.55,15.07
2019-09-12,10413.67,10415.13,10413.18,10415.13,8.586
2019-09-13,10334.64,10345.22,10333.91,10341.34,13.975
2019-09-14,10331.11,10333.19,10329.02,10332.25,17.926
2019-09-15,10302.33,10303.08,10302.19,10302.22,4.888
2019-09-16,10256.27,10256.27,10248.53,10249.27,21.088
2019-09-17,10188.41,10191.09,10186.52,10186.52,14.071
2019-09-18,10155.82,10157.47,10154.84,10155.16,15.051
2019-09-19,10242.68,10248.61,10242.68,10245.3,11.392
2019-09-20,10166.13,10167.01,10165.88,10166.35,9.528
2019-09-21,9986.72,9986.9,9983.33,9983.33,10.38
2019-09-22,10026.82,10029.02,10021.0,10023.04,12.836
2019-09-23,9687.71,9701.96,9687.18,9701.96,12.612
2019-09-24,8509.68,8510.5,8490.43,8495.83,66.86
2019-09-25,8424.15,8431.93,8424.15,8430.07,21.343
2019-09-26,8054.81,8062.99,8052.8,8060.15,18.336
2019-09-27,8177.04,8177.82,8173.52,8176.52,12.099
2019-09-28,8207.18,8207.18,8195.26,8195.38,18.378
2019-09-29,8042.04,8043.0,8040.63,8041.96,7.15
2019-09-30,8279.1,8285.84,8273.0,8285.84,33.319
2019-10-01,8293.15,8293.15,8289.86,8290.0,13.617
2019-10-02,8351.1,8353.55,8349.35,8352.14,25.933
2019-10-03,8213.86,8220.27,8213.86,8220.27,13.344
2019-10-04,8130.52,8130.56,8130.0,8130.56,4.799
2019-10-05,8119.62,8123.83,8119.47,8122.14,11.597
2019-10-06,7862.97,7863.18,7852.79,7852.79,10.715
2019-10-07,8190.62,8190.62,8185.43,8186.88,31.864
2019-10-08,8178.25,8178.25,8165.23,8167.62,40.81
2019-10-09,8561.45,8561.45,8558.03,8559.77,16.374
2019-10-10,8558.0,8558.11,8554.73,8556.02,23.441
2019-10-11,8259.55,8259.55,8255.58,8255.58,27.397
2019-10-12,8298.69,8300.31,8298.5,8300.22,32.071
2019-10-13,8275.93,8276.23,8274.33,8274.66,8.988
2019-10-14,8342.37,8346.64,8341.96,8346.05,37.399
2019-10-15,8159.65,8162.52,8157.21,8160.01,19.878
2019-10-16,7998.95,7998.95,7991.41,7992.21,69.586
2019-10-17,8061.61,8071.6,8061.61,8069.2,46.219
2019-10-18,7942.42,7947.98,7940.68,7943.94,112.025
2019-10-19,7951.58,7951.58,7944.02,7947.13,92.81
2019-10-20,8215.99,8219.0,8213.61,8218.23,35.108
2019-10-21,8213.0,8213.0,8201.0,8201.74,91.367
2019-10-22,8030.0,8030.09,8020.68,8020.89,85.826
2019-10-23,7462.02,7476.0,7461.06,7465.0,116.188
2019-10-24,7411.83,7413.44,7409.5,7411.35,39.859
2019-10-25,8654.8,8655.01,8649.15,8650.0,8.688
2019-10-26,9241.64,9241.66,9226.2,9232.22,29.851
